STATION_ZONE,STATION_DIV,STATION_CODE,STATION_NAME,amenities1,amenities2,ALL_AMENITIES,TOTAL_AMENITIES
NF,LMG,ABSA,AMBASSA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,MAS,ABU,AMBATTUR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WR,BCT,ACL,ANCHELI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
ER,HWH,ACLE,AZIMGANJ CITY,[],[],[],0
KR,RN,ACRN,ACHIRNE,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
SC,GTL,AD,ADONI,['Drinking Water'],"['Wheelchair Access(10)', 'Sanitary Product']","['Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",3
SC,NED,ADB,ADILABAD,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WR,BCT,ADH,ANDHERI,['Drinking Water'],"['Wheelchair Access(10)', 'Sanitary Product']","['Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",3
WR,ADI,ADI,AHMEDABAD JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",12
SE,KGP,ADL,ANDUL,[],"['AC Lounge', 'Wheelchair Access(1)']","['AC Lounge', 'Wheelchair Access(1)']",2
SR,MDU,ADPT,ANDIPATTI,[],['Wheelchair Access(4)'],['Wheelchair Access(4)'],1
NW,BKN,ADR,MANDI ADAMPUR,[],['Wheelchair Access(9)'],['Wheelchair Access(9)'],1
SE,ADRA,ADRA,ADRA,[],"['Wheelchair Access(10)', 'Sanitary Product']","['Wheelchair Access(10)', 'Sanitary Product']",2
SR,TPJ,ADT,ADUTURAI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WC,JBP,ADTL,ADHARTAL,[],['Wheelchair Access(3)'],['Wheelchair Access(3)'],1
SE,CKP,ADTP,ADITYAPUR,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
KR,RN,ADVI,ADAVALI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NC,AGRA,AED,AULENDA,[],[],[],0
NW,JP,AEL,ATELI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NC,AGRA,AF,AGRA FORT,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
SR,TVC,AFK,ANGAMALI FOR KALADI,['Drinking Water'],"['Wheelchair Access(10)', 'Sanitary Product']","['Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",3
NR,MB,AFR,ASAFPUR,[],['Wheelchair Access(3)'],['Wheelchair Access(3)'],1
EO,WAT,AGB,AMBAGAON,[],['AC Lounge'],['AC Lounge'],1
NC,AGRA,AGC,AGRA CANTT,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",12
NF,TSK,AGI,AMGURI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SB,NAG,AGN,AMGAON,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WR,RTM,AGR,AMARGARH,[],['AC Lounge'],['AC Lounge'],1
NF,LMG,AGTL,AGARTALA,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
EO,WAT,AGZ,AMAGURA,[],[],[],0
NC,AGRA,AH,ACHHNERA JN.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
ER,MLDT,AHA,ABHAIPUR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NR,UMB,AHH,AHMED GARH,[],"['AC Lounge', 'Wheelchair Access(3)']","['AC Lounge', 'Wheelchair Access(3)']",2
ER,MLDT,AHN,AHIRAN H,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
WR,ADI,AI,ADIPUR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NW,JP,AIA,AJARKA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NW,AII,AII,AJMER JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",12
NC,JHS,AIT,AIT JN.,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
WR,ADI,AJE,ANJAR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NR,MB,AJI,ANJI SHAHABAD,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,MAS,AJJ,ARAKKONAM JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",10
CR,NGP,AJNI,AJNI,[],"['AC Lounge', 'Wheelchair Access(10)']","['AC Lounge', 'Wheelchair Access(10)']",2
SW,MYS,AJP,AJJAMPUR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
CR,BSL,AK,AKOLA JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",10
WR,RTM,AKD,AKODIA,[],['Wheelchair Access(7)'],['Wheelchair Access(7)'],1
SC,HYB,AKE,AKANAPET,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
ER,MLDT,AKN,AKBARNAGAR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
CR,SUR,AKOR,AKALKOT ROAD,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SC,BZA,AKP,ANAKAPALLE,"['Waiting Room', 'Drinking Water', 'Food Stalls', 'Bigger Cleaning Staff']","['Wheelchair Access(10)', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Food Stalls', 'Bigger Cleaning Staff', 'Wheelchair Access(10)', 'Sanitary Product']",6
SB,BSP,AKT,AKALTARA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WR,BRC,AKV,ANKLESHWAR JN.,"['Waiting Room', 'Drinking Water', 'Food Stalls']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Food Stalls', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",7
SC,BZA,AKVD,AKIVIDU,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WR,RJT,ALB,ALIYAWADA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SC,SC,ALER,ALER,[],['Wheelchair Access(7)'],['Wheelchair Access(7)'],1
NC,PRYJ,ALJN,ALIGARH JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
SR,TVC,ALLP,ALAPPUZHA,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
SC,HYB,ALPR,ALAMPUR ROAD,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SR,TPJ,ALU,ARIYALUR,['Drinking Water'],"['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Drinking Water', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",5
SC,HYB,ALW,ALWAL HALT,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
EO,SBP,AMB,AMBODALA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SW,MYS,AMC,AMRITAPURA,[],[],[],0
NR,LKO,AME,AMETHI,['Drinking Water'],['Wheelchair Access(10)'],"['Drinking Water', 'Wheelchair Access(10)']",2
NR,LKO,AMG,ALAM NAGAR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NE,BSB,AMH,AZAMGARH,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
CR,BSL,AMI,AMRAVATI,"['Waiting Room', 'Drinking Water']","['Wheelchair Access(10)', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",4
WR,BCT,AML,AMALSAD,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
CR,NGP,AMLA,AMLA JN.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WC,KOTA,AMLI,AMLI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SR,TPJ,AMM,ADIRAMPATTINAM,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
ER,HWH,AMP,AHAMADPUR JN.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,TVC,AMPA,AMBALAPUZHA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SC,HYB,AMQ,AMMUGUDA HALT,[],[],[],0
NR,MB,AMRO,AMROHA,['Drinking Water'],"['Wheelchair Access(10)', 'Sanitary Product']","['Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",3
SW,MYS,AMSA,AMMASANDRA,[],[],[],0
WR,BCT,AN,AMALNER,['Drinking Water'],"['Wheelchair Access(10)', 'Sanitary Product']","['Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",3
WC,JBP,ANA,ASLANA,[],[],[],0
WR,RTM,ANAS,ANAS,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SC,BZA,ANB,AMMANABROLU,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NR,DLI,ANDI,ADARSH NAGAR DELHI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NE,LJN,ANDN,ANAND NAGAR JN.,[],"['AC Lounge', 'Wheelchair Access(10)']","['AC Lounge', 'Wheelchair Access(10)']",2
SW,MYS,ANF,ANANDAPURAM H,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
CR,PUNE,ANG,AHMADNAGAR.,"['Waiting Room', 'Drinking Water']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",6
EO,KUR,ANGL,ANGUL,"['Waiting Room', 'Drinking Water', 'Food Stalls']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Food Stalls', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",8
CR,BSL,ANK,ANKAI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
KR,KAWR,ANKL,ANKOLA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
EO,SBP,ANMD,ARANG MAHANADI,[],[],[],0
WR,BRC,ANND,ANAND JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
EC,DHN,ANPR,ANPARA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SE,ADRA,ANR,ANARA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NR,UMB,ANSB,ANANDPUR SAHIB,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NR,FZR,ANT,ANANTNAG,[],['AC Lounge'],['AC Lounge'],1
SC,BZA,ANV,ANNAVARAM,['Drinking Water'],"['Wheelchair Access(10)', 'Sanitary Product']","['Drinking Water', 'Wheelchair Access(10)', 'Sanitary Product']",3
NR,DLI,ANVR,ANAND VIHAR HALT,[],['Wheelchair Access(4)'],['Wheelchair Access(4)'],1
NR,DLI,ANVT,ANAND VIHAR TERMINAL,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",12
SR,MDU,ANY,ARUMUGANERI,[],['Wheelchair Access(3)'],['Wheelchair Access(3)'],1
NR,MB,AO,AONLA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SW,MYS,AP,ASHOKAPURAM,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NF,APDJ,APDJ,ALIPUR DUAR JN.,[],"['AC Lounge', 'Wheelchair Access(10)']","['AC Lounge', 'Wheelchair Access(10)']",2
SR,MDU,APK,ARUPPUKKOTTAI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,SA,APN,AYODHYAPATTANAM,[],['Wheelchair Access(6)'],['Wheelchair Access(6)'],1
SB,BSP,APR,ANUPPUR JN.,"['Waiting Room', 'Drinking Water', 'Food Stalls']","['Wheelchair Access(10)', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Food Stalls', 'Wheelchair Access(10)', 'Sanitary Product']",5
SC,BZA,APT,ANAPARTI,['Drinking Water'],['Wheelchair Access(10)'],"['Drinking Water', 'Wheelchair Access(10)']",2
CR,CSTM,APTA,APTA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NW,JU,AQG,ASHAPURA GOMAT,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
EC,DNR,ARA,ARA JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
NF,LMG,ARCL,ARUNACHAL,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SE,KGP,ARD,AMARDA ROAD,[],"['AC Lounge', 'Wheelchair Access(1)']","['AC Lounge', 'Wheelchair Access(1)']",2
NE,BSB,ARJ,AUNRIHAR JN.,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
EO,WAT,ARK,ARAKU,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NW,JP,ARNA,ARNIYA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NF,KIR,ARQ,ARARIYA COURT,[],"['AC Lounge', 'Wheelchair Access(10)']","['AC Lounge', 'Wheelchair Access(10)']",2
NF,KIR,ARR,ARARIYA,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SW,MYS,ARU,ARASALU H,[],['Wheelchair Access(3)'],['Wheelchair Access(3)'],1
SR,TPJ,ARV,ARNI ROAD,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
NW,BKN,AS,ARJANSAR,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SC,SC,ASAF,ASIFABAD ROAD,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SR,MDU,ASD,AMBASAMUDRAM,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NE,LJN,ASH,AISHBAGH,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
SW,MYS,ASK,ARSIKERE JN.,"['Waiting Room', 'Drinking Water']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",6
WC,BPL,ASKN,ASHOK NAGAR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
ER,ASN,ASN,ASANSOL JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",12
NR,FZR,ASR,AMRITSAR JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Bus Connectivity', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",12
NR,DLI,AST,ASAOTI,[],[],[],0
WR,ADI,ASV,ASARVA JN.,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'AC Lounge', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",11
NC,JHS,ATE,ATARRA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WC,KOTA,ATH,ANTAH,[],['Wheelchair Access(5)'],['Wheelchair Access(5)'],1
EC,DNR,ATL,ATHMAL GOLA,[],['Wheelchair Access(2)'],['Wheelchair Access(2)'],1
SC,GTL,ATP,ANANTAPUR,"['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Higher No of Toilet Stalls', 'Waiting Room', 'Drinking Water', 'Food Stalls', 'Additional Entries/Exits', 'Bigger Cleaning Staff', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",10
NR,FZR,ATPA,AWANTIPURA,[],['AC Lounge'],['AC Lounge'],1
SR,TPJ,ATQ,ARANTANGI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
WC,KOTA,ATRU,ATRU,[],['Wheelchair Access(4)'],['Wheelchair Access(4)'],1
EO,SBP,ATS,ATTABIRA,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,SA,ATU,ATTUR,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
NF,KIR,AUB,ALUABARI ROAD,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
EC,DDU,AUBR,ANUGRAH NARAYAN ROAD,"['Waiting Room', 'Drinking Water']","['Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']","['Waiting Room', 'Drinking Water', 'Coolie Required(10)', 'Wheelchair Access(10)', 'Kids Play Area', 'Sanitary Product']",6
NW,BKN,AUN,AURANG NAGAR,[],[],[],0
NW,BKN,AUS,ANUP SHAHR,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SR,MAS,AVD,AVADI,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,SA,AVK,ARAVANKADU,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
SR,MAS,AVN,ANAVARDIKHANPETTAI,[],['Wheelchair Access(1)'],['Wheelchair Access(1)'],1
KR,RN,AVRD,ARAVALI ROAD,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
SR,MDU,AVS,AUVANEESWAREM,[],['Wheelchair Access(10)'],['Wheelchair Access(10)'],1
